SMILES,density,melting,oxygen
*C*,0.9362,131.0,
*CC(*)C,0.9031,164.0,
*CC(*)CC,0.9,115.5,
*CC(*)CCC,0.9,80.0,
*CC(*)C(C)C,0.906,306.0,
*CC(*)CCCC,0.854,30.0,
*CC(*)CC(C)C,0.832,232.0,
*CC(*)CCCCC,0.8354,19.0,
*CC(*)CCC(C)C,0.855,130.0,
*CC(*)CCC(C)CC,0.9,61.0,
*CC(*)CCCCCCC,0.8418,20.5,
*CC(*)CCCCCCCC,0.857,34.0,
*CC(*)(C)C,0.912,5.0,
*CC(*)(C)CC,,,
*CCC(*)(C)C,0.8718,68.0,
*CC(C)C(*)(C)C,,,
*CCCC(*)(C)C,,,
*CCCC(*)(C)CC,,,
*CCCCCCCC(*)C,,-5.0,
*CC(*)C1CC1,0.9805,,
*CC(*)C1CCC1,,,
*CC(*)C1CCCC1,0.97,292.0,
*CC(*)CC1CCCC1,0.924,217.5,
*CC(*)C1CCCCC1,0.944,350.0,
*CC(*)CC1CCCCC1,0.926,230.0,
*CC(*)Cc1ccccc1,1.051,235.0,
*CC(*)CCc1ccccc1,1.045,159.0,
*CC(*)C(C)c1ccccc1,,360.0,
*CC1CCC(*)C1,1.111,138.5,
*CC(*)CCCCCC,0.85,20.0,
*CC(*)CCCCCCCCCC,,45.0,
*CC(*)CCCCCCCCCCCC,,55.0,
*CC(*)CCCCCCCCCCCCCCCC,0.8969,68.0,
*CC(*)CCCC(C)C,,180.0,
*CC(*)C(C)CC,0.922,362.0,
*CC(*)C(CC)CC,0.89,399.5,
*CC(*)CC(CC)CC,0.86,240.0,
*CC(*)CC(C)CC,0.9,199.0,
*CC(*)CC(C)(C)C,0.85,335.0,
*CC(*)CC(C)(C)CC,,350.0,
*CC(*)CCCC(C)(C)C,,104.0,
*CC(*)CCC1CCCCC1,,154.0,
*CC(*)CCCC1CCCCC1,,123.0,
*CC1(*)CCC(C)CC1,,195.0,
*CC(*)(C)CCC,,,
*/C=C/CCC*,0.86,23.0,
*/C=C/CC*,0.9674,115.5,
*/C=C/CC*,0.915,-2.5,
*/C=C/CC*,0.89,33.0,
*C(*)C,0.9195,147.5,
*/C=C/*,1.176,,
*CCC(C)C(*)C,0.9,135.0,
*CCC1CCCC1*,1.01,185.0,
*/C=C/CCCCCCCC*,,70.5,
*CC(*)CCCCCCCCCCCCCCCCCCCC,,90.0,
*/C=C/CCCCCCCCCC*,0.995,80.0,
*CC(*)CCCCCCCCCCCCCC,,65.0,
*/C=C/CCCCCC*,0.993,38.0,
*/C=C/CCC*,1.0495,23.0,
*CC(*)C(C)(C)C,,260.0,
*/C=C/CCCC*,,51.0,
*CC(*)CCCCCCCCCCCCC,,58.0,
*C(*)CC,,96.0,
*CC(*)CCCCCCCCCCC,0.8532,52.5,
*CC(*)CCCCCCCCC,0.8489,38.0,
*CC(*)C1CCCC(C)C1,0.9237,355.0,
*CC(*)C1CCC(C)CC1,0.9249,250.0,
*CC(*)C1CC=CCC1,1.128,418.0,
*CC/C=C(/*)CCCCCCC,,,
*CC/C=C(/*)C(C)C,,,
*/C=C/CCC*,0.89,-41.0,
*CC(*)CCC(C)(C)C,,,
*C1CCC1*,1.0475,200.0,
*/C=C/*,1.16,,
*/C=C/CCCCC*,1.0295,51.0,
*/C=C/C1CCC(*)C1,1.3,202.0,
*/C=C/C(C*)C(C)CC,,175.0,
*CC/C=C(/*)CCC,0.935,42.0,
*/C=C/CCCCCCCCCC*,,73.0,
*/C=C/*,1.16,,
*CC1(*)CCCCC1,,210.0,
*/C=C/C(C)CCCCC*,,,
*CC/C=C(/*)C(C)(C)C,,106.0,
*CC(*)c1ccccc1,1.04714,255.0,
*CC(*)c1ccccc1C,1.032,360.0,
*CC(*)c1ccccc1CC,,,
*CC(*)c1ccccc1COC,,,
*CC(*)c1ccccc1COCC,,,
*CC(*)c1ccccc1COCCC,,,
*CC(*)c1ccccc1COC(C)C,,,
*CC(*)c1ccccc1COCCCC,,,
*CC(*)c1ccccc1COCCCCC,,,
*CC(*)c1ccccc1COCCC(C)C,,,
*CC(*)c1ccccc1COCc1ccccc1,,,
*CC(*)c1ccccc1COCCc1ccccc1,,,
*CC(*)c1ccccc1C(=O)NC,,,
*CC(*)c1ccccc1C(=O)N(C)C,,,
*CC(*)c1ccccc1C(=O)Nc1ccccc1,,,
*CC(*)c1ccccc1C(=O)O,,,
*CC(*)c1ccccc1C(=O)OC,,,
*CC(*)c1ccccc1C(=O)OCC,,,
*CC(*)c1ccccc1C(=O)OCCC,,,
*CC(*)c1ccccc1C(=O)OC(C)C,,,
*CC(*)c1ccccc1C(=O)OCCCC,,,
*CC(*)c1ccccc1C(=O)OCC(C)C,,,
*CC(*)c1ccccc1C(=O)OCCCCC,,,
*CC(*)c1ccccc1C(=O)OCCC(C)C,,,
*CC(*)c1ccccc1C(=O)OCCCCCC,,,
*CC(*)c1ccccc1C(=O)Oc1ccccc1,,,
*CC(*)c1ccccc1C(=O)OCCN(C)C,,,
*CC(*)c1ccc(C(=O)OCCN(C)C)cc1,,,
*CC(*)c1ccccc1OC,,195.0,
*CC(*)c1ccccc1Cl,,,
*CC(*)c1ccccc1F,1.29,270.0,
*CC(*)c1cccc(C)c1,1.0285,215.0,
*CC(*)c1cccc(CC)c1,,,
*CC(*)c1cccc(-c2ccc(-c3ccccc3)cc2)c1,,,
*CC(*)c1cccc(Cl)c1,,158.0,
*CC(*)c1cccc(F)c1,,262.5,
*CC(*)c1ccc(C)cc1,1.016,205.0,
*CC(*)c1ccc(CC)cc1,,,
*CC(*)c1ccc(C(C)C)cc1,,,
*CC(*)c1ccc(CCCC)cc1,,,
*CC(*)c1ccc(C(C)(C)C)cc1,0.9479,137.1,
*CC(*)c1ccc(C(C)CC)cc1,,,
*CC(*)c1ccc(CCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCCCCCCCCC)cc1,,,
*CC(*)c1ccc(CCCCCCCCCCCCCCCCCC)cc1,,,
*CC(*)c1ccc(-c2ccccc2)cc1,,,
*CC(*)c1ccc(COCCOCC)cc1,,,
*CC(*)c1ccc(C#N)cc1,,,
*CC(*)c1ccc(Cl)cc1,1.2175,232.0,
*CC(*)c1ccc(Br)cc1,1.408,,
*CC(*)c1ccc(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)cc1,,,
*CC(*)c1ccc(/C(C)=N/O)cc1,,,
*CC(*)c1ccc(C(C)(C)O)cc1,,,
*CC(*)c1ccc(C(C)(O)CC)cc1,,,
*CC(*)c1ccc(C(C)(O)CCC)cc1,,,
*CC(*)c1ccc(C(C)(O)CCCC)cc1,,,
*CC(*)c1ccc(C(C)(O)CCCCC)cc1,,,
*CC(*)c1ccc(C(O)CCN(C)C)cc1,,,
*CC(*)c1ccc(C(O)CCN2CCCCC2)cc1,,,
*CC(*)c1ccc(C(O)CCN2CCOCC2)cc1,,,
*CC(*)c1ccc(COC)cc1,,,
*CC(*)c1ccc(COCCO)cc1,,,
*CC(*)c1ccc(COCCC)cc1,,,
*CC(*)c1ccc(COCCCC)cc1,,,
*CC(*)c1ccc(COCCCCO)cc1,,,
*CC(*)c1ccc(COC(C)CC)cc1,,,
*CC(*)c1ccc(COCCCCCC)cc1,,,
*CC(*)c1ccc(COCCOCCCC)cc1,,,
*CC(*)c1ccc(C(=O)N(C)C)cc1,,,
*CC(*)c1ccc(C(=O)N(CC)CC)cc1,,,
*CC(*)c1ccc(C(=O)N2CCCCC2)cc1,,,
*CC(*)c1ccc(C(=O)CCN2CCCCC2)cc1,,,
*CC(*)c1ccc(C(=O)N2CCOCC2)cc1,,,
*CC(*)c1ccc(C(=O)OC)cc1,,,
*CC(*)c1ccc(C(=O)OCC)cc1,,,
*CC(*)c1ccc(C(=O)OCCC)cc1,,,
*CC(*)c1ccc(C(=O)OC(C)C)cc1,,,
*CC(*)c1ccc(C(=O)OCCCC)cc1,,,
*CC(*)c1ccc(C(=O)OCC(C)C)cc1,,,
*CC(*)c1ccc(C(=O)OCCCCCC)cc1,,,
*CC(*)c1ccc(C(=O)CC)cc1,,,
*CC(*)c1ccc(C(=O)CCC)cc1,,,
*CC(*)c1ccc(C(=O)CCCC)cc1,,,
*CC(*)c1ccc(C(=O)CCCCC)cc1,,,
*CC(*)c1ccc(C(=O)CCCCCCC)cc1,,,
*CC(*)c1ccc(C(=O)Cc2ccccc2)cc1,,,
*CC(*)c1ccc(C(=O)c2ccccc2)cc1,,,
*CC(*)c1ccc(C(=O)c2ccc(C)cc2)cc1,,,
*CC(*)c1ccc(F)cc1,1.2,265.0,
*CC(*)c1ccc(I)cc1,,,
*CC(*)c1ccc(N(C)C)cc1,,,
*CC(*)c1ccc(OC)cc1,1.0635,,
*CC(*)c1ccc(OCC)cc1,,,
*CC(*)c1ccc(OCCC)cc1,,,
*CC(*)c1ccc(OCCCC)cc1,,,
*CC(*)c1ccc(OCCC(C)C)cc1,,,
*CC(*)c1ccc(Oc2ccccc2)cc1,,,
*CC(*)c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,,,
*CC(*)c1ccc(S(=O)(=O)OCCC)cc1,,349.0,
*CC(*)c1ccc([Si](C)(C)C)cc1,,284.0,
*CC(*)c1c(Cl)cccc1Cl,,,
*CC(*)c1ccc(C)cc1C,,310.0,
*CC(*)c1ccc(C(C)C)cc1C(C)C,,,
*CC(*)c1ccc(F)cc1C,,360.0,
*CC(*)c1ccc(Cl)cc1C,,,
*CC(*)c1ccc(Cl)cc1Cl,,,
*CC(*)c1cc(C)ccc1C,,330.0,
